Paracetamol,
2185.49,1554.9
2187.02,1561.1
2188.56,1593.7
2190.1,1526.3
2191.63,1582.1
2193.17,1612.6
2194.7,1588.8
2196.24,1598.1
2197.77,1528.6
2199.3,1634.4
2200.83,1586.1
2202.36,1644.6
2203.89,1516.5
2205.42,1576.2
2206.95,1521.2
2208.48,1554.2
2210.01,1511.4
2211.54,1548.0
2213.07,1494.3
2214.59,1523.9
2216.12,1593.3
2217.64,1536.6
2219.17,1561.0
2220.69,1524.6
2222.22,1594.6
2223.74,1571.2
2225.26,1595.4
2226.78,1557.0
2228.31,1542.8
2229.83,1710.7
2231.35,1560.5
2232.87,1580.1
2234.38,1552.3
2235.9,1609.8
2237.42,1529.2
2238.94,1606.3
2240.45,1511.4
2241.97,1463.1
2243.48,1476.5
2245.0,1478.8
2246.51,1499.2
2248.03,1477.8
2249.54,1531.7
2251.05,1498.0
2252.56,1475.3
2254.07,1544.5
2255.59,1496.3
2257.1,1449.2
2258.6,1585.1
2260.11,1481.2
2261.62,1446.5
2263.13,1462.9
2264.64,1530.9
2266.14,1460.9
2267.65,1445.8
2269.15,1449.6
2270.66,1499.8
2272.16,1504.8
2273.67,1534.3
2275.17,1454.5
2276.67,1442.1
2278.17,1468.0
2279.67,1467.6
2281.17,1504.0
2282.67,1482.5
2284.17,1594.9
2285.67,1430.8
2287.17,1483.1
2288.67,1439.4
2290.17,1497.6
2291.66,1454.3
2293.16,1490.8
2294.65,1565.1
2296.15,1492.3
2297.64,1443.5
2299.14,1491.6
2300.63,1484.3
2302.12,1452.8
2303.61,1462.8
2305.1,1477.4
2306.59,1494.8
2308.08,1423.1
2309.57,1449.0
2311.06,1475.6
2312.55,1463.9
2314.04,1394.1
2315.53,1472.9
2317.01,1462.4
2318.5,1434.7
2319.98,1551.0
2321.47,1497.5
2322.95,1471.7
2324.44,1462.8
2325.92,1535.5
2327.4,1466.7
2328.89,1457.2
2330.37,1446.1
2331.85,1441.4
2333.33,1476.0
2334.81,1476.3
2336.29,1473.6
2337.76,1463.8
2339.24,1424.5
2340.72,1430.0
2342.2,1530.5
2343.67,1412.9
2345.15,1462.2
2346.62,1508.4
2348.1,1451.1
2349.57,1409.8
2351.05,1443.1
2352.52,1473.9
2353.99,1370.9
2355.46,1458.7
2356.93,1511.8
2358.4,1459.0
2359.87,1426.3
2361.34,1420.6
2362.81,1393.9
2364.28,1364.2
2365.75,1432.3
2367.21,1375.0
2368.68,1413.7
2370.15,1415.8
2371.61,1392.2
2373.08,1429.8
2374.54,1472.4
2376.01,1373.9
2377.47,1408.8
2378.93,1456.7
2380.39,1451.1
2381.85,1507.9
2383.32,1835.5
2384.78,1439.0
2386.24,1371.6
2387.69,1402.7
2389.15,1370.3
2390.61,1379.8
2392.07,1443.8
2393.53,1463.9
2394.98,1424.7
2396.44,1391.6
2397.89,1402.2
2399.35,1380.0
2400.8,1379.4
2402.25,1444.0
2403.71,1437.7
2405.16,1497.2
2406.61,1394.3
2408.06,1365.5
2409.51,1359.5
2410.96,1392.3
2412.41,1455.4
2413.86,1381.4
2415.31,1371.4
2416.76,1413.7
2418.21,1393.0
2419.65,1394.7
2421.1,1392.9
2422.54,1374.5
2423.99,1404.6
2425.43,1364.6
2426.88,1383.0
2428.32,1411.8
2429.76,1394.6
2431.21,1378.7
2432.65,1387.4
2434.09,1435.6
2435.53,1459.2
2436.97,1372.9
2438.41,1448.0
2439.85,1374.0
2441.29,1418.9
2442.72,1469.5
2444.16,1411.1
2445.6,1439.0
2447.03,1439.2
2448.47,1452.4
2449.9,1462.2
2451.34,1418.5
2452.77,1470.5
2454.21,1515.0
2455.64,1551.4
2457.07,1442.1
2458.5,1488.6
2459.93,1457.9
2461.36,1489.6
2462.79,1544.7
2464.22,1520.8
2465.65,1480.6
2467.08,1505.1
2468.51,1480.8
2469.94,1449.8
2471.36,1558.4
2472.79,1518.5
2474.21,1479.4
2475.64,1481.1
2477.06,1482.7
2478.49,1541.8
2479.91,1578.0
2481.33,1475.6
2482.76,1481.5
2484.18,1432.0
2485.6,1519.8
2487.02,1478.2
2488.44,1556.1
2489.86,1495.0
2491.28,1461.9
2492.7,1418.0
2494.12,1455.9
2495.53,1487.1
2496.95,1515.0
2498.37,1429.9
2499.78,1440.5
2501.2,1416.3
2502.61,1432.9
2504.03,1398.6
2505.44,1441.0
2506.85,1403.4
2508.26,1455.6
2509.68,1455.1
2511.09,1362.5
2512.5,1421.5
2513.91,1393.8
2515.32,1403.4
2516.73,1423.2
2518.14,1439.8
2519.54,1451.3
2520.95,1448.1
2522.36,1360.6
2523.77,1362.0
2525.17,1418.1
2526.58,1397.4
2527.98,1360.7
2529.39,1470.5
2530.79,1357.3
2532.19,1342.1
2533.6,1455.3
2535.0,1414.0
2536.4,1344.6
2537.8,1348.3
2539.2,1393.0
2540.6,1362.4
2542.0,1429.1
2543.4,1388.7
2544.8,1422.1
2546.2,1538.9
2547.59,1452.3
2548.99,1396.8
2550.39,1386.1
2551.78,1399.0
2553.18,1419.0
2554.57,1404.0
2555.96,1409.7
2557.36,1391.6
2558.75,1366.0
2560.14,1383.6
2561.54,1355.5
2562.93,1427.4
2564.32,1414.5
2565.71,1371.9
2567.1,1352.3
2568.49,1374.0
2569.88,1333.1
2571.26,1379.0
2572.65,1349.1
2574.04,1379.3
2575.43,1339.8
2576.81,1356.3
2578.2,1332.3
2579.58,1427.2
2580.97,1377.2
2582.35,1451.6
2583.73,1352.0
2585.12,1334.6
2586.5,1335.4
2587.88,1403.2
2589.26,1418.1
2590.64,1400.2
2592.02,1335.7
2593.4,1400.1
2594.78,1453.7
2596.16,1354.9
2597.54,1449.5
2598.91,1386.3
2600.29,1353.7
2601.67,1416.3
2603.04,1446.1
2604.42,1326.0
2605.79,1332.6
2607.17,1332.9
2608.54,1426.9
2609.92,1368.7
2611.29,1434.1
2612.66,1315.4
2614.03,1415.9
2615.4,1355.3
2616.77,1336.4
2618.14,1402.4
2619.51,1322.3
2620.88,1352.8
2622.25,1388.3
2623.62,1360.9
2624.99,1390.1
2626.35,1371.8
2627.72,1410.5
2629.09,1409.1
2630.45,1342.7
2631.82,1347.1
2633.18,1433.0
2634.54,1337.4
2635.91,1421.2
2637.27,1380.0
2638.63,1376.1
2639.99,1317.7
2641.36,1332.4
2642.72,1375.6
2644.08,1375.0
2645.44,1337.5
2646.79,1346.4
2648.15,1311.9
2649.51,1324.9
2650.87,1406.6
2652.23,1397.8
2653.58,1768.4
2654.94,1374.1
2656.29,1313.7
2657.65,1338.8
2659.0,1312.5
2660.36,1334.8
2661.71,1607.1
2663.06,1403.1
2664.42,1310.5
2665.77,1335.2
2667.12,1409.1
2668.47,1355.8
2669.82,1324.1
2671.17,1356.5
2672.52,1305.7
2673.87,1349.9
2675.22,1294.6
2676.56,1331.7
2677.91,1356.1
2679.26,1289.9
2680.6,1288.2
2681.95,1397.5
2683.29,1298.8
2684.64,1296.2
2685.98,1375.3
2687.33,1323.6
2688.67,1283.0
2690.01,1367.9
2691.35,1301.2
2692.69,1311.1
2694.04,1311.5
2695.38,1355.3
2696.72,1323.9
2698.06,1368.1
2699.39,1351.1
2700.73,1301.6
2702.07,1348.9
2703.41,1328.7
2704.74,1358.8
2706.08,1311.9
2707.42,1325.0
2708.75,1347.8
2710.09,1341.2
2711.42,1346.6
2712.76,1358.8
2714.09,1355.1
2715.42,1389.8
2716.75,1341.1
2718.09,1362.4
