N,N - Dimethylformahide
cm^-1,Intensity
1142.0,2226.576416015625
1143.0,2227.797607421875
1144.0,2218.537353515625
1145.0,2200.801513671875
1146.0,2182.05712890625
1147.0,2168.04296875
1148.0,2159.038818359375
1149.0,2152.266845703125
1150.0,2146.11474609375
1151.0,2141.80078125
1152.0,2142.099609375
1153.0,2148.663330078125
1154.0,2159.5703125
1155.0,2169.27783203125
1156.0,2172.22119140625
1157.0,2167.40380859375
1158.0,2159.083740234375
1159.0,2152.493896484375
1160.0,2149.26123046875
1161.0,2147.12890625
1162.0,2143.08154296875
1163.0,2135.728759765625
1164.0,2125.3291015625
1165.0,2113.16015625
1166.0,2101.302490234375
1167.0,2091.783447265625
1168.0,2084.875732421875
1169.0,2078.7490234375
1170.0,2071.842529296875
1171.0,2065.507568359375
1172.0,2063.292236328125
1173.0,2067.11767578125
1174.0,2074.584228515625
1175.0,2080.471923828125
1176.0,2080.93017578125
1177.0,2076.4033203125
1178.0,2070.979736328125
1179.0,2069.012939453125
1180.0,2071.866943359375
1181.0,2077.401611328125
1182.0,2082.2294921875
1183.0,2084.060546875
1184.0,2082.009521484375
1185.0,2076.017578125
1186.0,2067.324951171875
1187.0,2058.917724609375
1188.0,2053.76171875
1189.0,2052.274658203125
1190.0,2052.59912109375
1191.0,2053.291015625
1192.0,2054.335693359375
1193.0,2055.624267578125
1194.0,2056.460693359375
1195.0,2057.223876953125
1196.0,2059.56298828125
1197.0,2063.697509765625
1198.0,2067.08740234375
1199.0,2067.311767578125
1200.0,2065.218994140625
1201.0,2063.7392578125
1202.0,2064.33154296875
1203.0,2066.045166015625
1204.0,2067.57861328125
1205.0,2068.768798828125
1206.0,2070.097900390625
1207.0,2071.93017578125
1208.0,2074.514404296875
1209.0,2077.946533203125
1210.0,2081.6171875
1211.0,2083.886962890625
1212.0,2082.837646484375
1213.0,2078.088623046875
1214.0,2072.38134765625
1215.0,2070.70556640625
1216.0,2076.42236328125
1217.0,2087.68359375
1218.0,2098.37548828125
1219.0,2103.134033203125
1220.0,2101.224365234375
1221.0,2095.629638671875
1222.0,2089.412353515625
1223.0,2083.8408203125
1224.0,2079.655517578125
1225.0,2078.846435546875
1226.0,2083.94189453125
